champion,cluster,totalGames,winRate,avgKDA,avgDamage
Nautilus,0,11204,49.05390931810068,2.4543965432029036,10600.62200999643
Thresh,0,10773,49.930381509328875,2.799477806788512,9046.429499675114
JarvanIV,0,10719,51.44136579904842,3.43858442944763,16708.328668719096
Galio,0,8078,51.42361970784848,2.782241434995404,17995.345011141373
Braum,0,6971,50.279730311289626,2.9506479397842784,8155.090804762588
DrMundo,0,6969,49.705840149232316,1.932014656208851,24186.320705983642
Alistar,0,6762,50.22182786157941,2.631279386290522,8134.272700384502
Leona,0,6182,50.90585571012617,2.579047167575255,9898.965383371078
Sion,0,6143,48.64072928536546,1.7962953204047218,21798.522545987304
Shen,0,5864,50.61391541609823,2.8012275895550856,17521.916268758527
Malphite,0,5716,48.88033589923023,2.397259311314125,20408.151854443666
Garen,0,5627,50.39985782832771,1.9069179812879873,21457.756531011197
Ornn,0,5503,49.64564782845721,2.5055509132147544,18665.45466109395
Rell,0,5400,50.55555555555556,2.9885685884691853,8946.992407407408
Poppy,0,5370,51.15456238361267,2.3498201147376268,17106.5
Gragas,0,5301,49.76419543482361,2.2917960760548444,20808.23618185248
Chogath,0,5090,48.52652259332024,1.9718319827311652,21396.065422396856
Zac,0,4615,50.40086673889491,3.0312095947211204,18077.156229685806
Blitzcrank,0,4607,50.11938354677664,2.567041491708775,9724.854569133926
KSante,0,4515,46.95459579180509,2.1090958067702252,19935.421483942413
Urgot,0,4472,52.12432915921288,1.9970627288456122,22148.647584973165
Nunu,0,4039,50.60658578856152,2.868557473972838,16082.790542213419
Singed,0,3193,52.865643595364865,2.086355785837651,20805.79580331976
Amumu,0,3036,48.5836627140975,2.302860696517413,15639.129446640316
TahmKench,0,2914,49.31365820178449,2.3056495856192365,16961.839739190116
RekSai,0,2877,51.02537365311088,2.965308370044053,17660.35279805353
Maokai,0,2512,50.07961783439491,2.5230810701529753,14646.621019108281
Sejuani,0,2371,47.91227330240405,2.948178908210053,16990.792914382117
Taric,0,1799,51.806559199555316,2.7983334893736544,6837.9288493607555
Rammus,0,1257,49.08512330946698,3.0385997812158148,14176.856801909307
Skarner,0,1202,46.089850249584025,2.994669681796155,17300.174708818635
Yunara,1,26210,47.924456314383825,2.1977369432975067,24503.69145364365
Viego,1,13137,49.646037908198224,2.666353543979505,18678.077110451395
Sylas,1,11155,49.583146571044374,2.1943451459453374,22099.729627969522
Pantheon,1,11095,50.14871563767463,2.456523034745813,20937.897972059487
Yasuo,1,10466,50.12421173323142,1.734018536121673,21137.52121154214
Volibear,1,9635,50.54488842760768,2.338467028529572,19091.449714582253
Aatrox,1,8555,49.456458211572176,1.9277291501701375,22614.811805961424
Jax,1,8446,50.805114847264974,1.8624882065357236,20853.15983897703
Trundle,1,8399,50.494106441243005,2.5185160546389924,17244.480533396832
Yone,1,8379,46.97457930540637,1.63119811105187,23186.15574650913
LeeSin,1,8072,47.88156590683845,2.806579858396802,18327.35777998018
Mel,1,7572,47.02852614896989,2.5031210083628563,23951.57818277866
Gwen,1,7303,49.54128440366973,1.8360870765832105,23395.84266739696
